condition_id,model_id,checkpoint_hash,architecture,split,transform,severity,seed,mean_latency_ms,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
resize_0.5,convnext_sid_b,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,convnext_tiny,val,resize,0.5,,4.063655740343734,5099,0.5,2592,4,3,2500,0.998627181800353,0.9986303031123822,0.9984025559105432,0.9988014382740712,0.9986019572598362,0.9999883037119708,0.9999879713400802,0.0015408320493066,0.0011985617259288,0.001059895105376
resize_0.5,dino_sid_b,71bb0fc142b8cb9f19902eb3f8a8c374ad787a755b697c8b5dd1d271d81d01fd,dinov2_vits14,val,resize,0.5,,4.3322964863674,5099,0.5,2533,63,69,2434,0.974112571092371,0.974082487763528,0.974769723668402,0.9724330803036356,0.9736,0.9965817598234968,0.9966809026674248,0.0242681047765793,0.0275669196963643,0.0199785864777386
resize_0.25,effnet_sid_b,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,efficientnet_b0,val,resize,0.25,,1.0971735899189912,5099,0.5,2588,8,4,2499,0.9976465973720338,0.9976601268000742,0.9968089349820504,0.9984019176987616,0.9976047904191616,0.9999156636073692,0.9999185136005582,0.0030816640986132,0.0015980823012385,0.0019894366252441
resize_0.25,convnext_sid_b,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,convnext_tiny,val,resize,0.25,,4.033109705824717,5099,0.5,2593,3,4,2499,0.998627181800353,0.9986231468308908,0.998800959232614,0.9984019176987616,0.9986013986013986,0.9999772230180488,0.9999768331010972,0.0011556240369799,0.0015980823012385,0.0012851023193228
resize_0.25,dino_sid_b,71bb0fc142b8cb9f19902eb3f8a8c374ad787a755b697c8b5dd1d271d81d01fd,dinov2_vits14,val,resize,0.25,,4.3384370857034,5099,0.5,2541,55,73,2430,0.9748970386350264,0.9748242786622154,0.977867203219316,0.9708349980023973,0.9743384121892542,0.9962796570155874,0.9963877437831384,0.0211864406779661,0.0291650019976028,0.0205042764357435
noise_0.02,effnet_sid_b,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,efficientnet_b0,val,noise,0.02,42.0,1.1784201423815035,5099,0.5,2591,5,3,2500,0.9984310649146892,0.9984376991062188,0.998003992015968,0.9988014382740712,0.9984025559105432,0.9998410228219204,0.999860359833764,0.0019260400616332,0.0011985617259288,0.0022334352012002
noise_0.02,convnext_sid_b,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,convnext_tiny,val,noise,0.02,42.0,4.154975380074043,5099,0.5,2587,9,4,2499,0.99745048048637,0.9974675227939108,0.9964114832535884,0.9984019176987616,0.997405707443624,0.9999730677578278,0.9999724102300548,0.0034668721109399,0.0015980823012385,0.0019989517070212
noise_0.02,dino_sid_b,71bb0fc142b8cb9f19902eb3f8a8c374ad787a755b697c8b5dd1d271d81d01fd,dinov2_vits14,val,noise,0.02,42.0,4.327986958032713,5099,0.5,2534,62,69,2434,0.9743086879780348,0.9742750917696914,0.9751602564102564,0.9724330803036356,0.9737947589517904,0.9965580594503852,0.99665888910511,0.0238828967642526,0.0275669196963643,0.0202248706571645
noise_0.05,effnet_sid_b,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,efficientnet_b0,val,noise,0.05,42.0,1.1773653410488365,5099,0.5,2585,11,8,2495,0.9962737791723868,0.9962832736309648,0.99561053471668,0.9968038353975228,0.9962068277101218,0.9998276336500976,0.9998370604637264,0.0042372881355932,0.003196164602477,0.0036352371223656
noise_0.05,convnext_sid_b,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,convnext_tiny,val,noise,0.05,42.0,4.134445605611839,5099,0.5,2579,17,6,2497,0.9954893116297312,0.9955271701692944,0.9932378679395386,0.9976028765481424,0.9954155870041858,0.999896272393005,0.999893970621046,0.0065485362095531,0.0023971234518577,0.0035603234303514
noise_0.05,dino_sid_b,71bb0fc142b8cb9f19902eb3f8a8c374ad787a755b697c8b5dd1d271d81d01fd,dinov2_vits14,val,noise,0.05,42.0,4.349033137478931,5099,0.5,2541,55,73,2430,0.9748970386350264,0.9748242786622154,0.977867203219316,0.9708349980023973,0.9743384121892542,0.9965425156991888,0.9966361841865654,0.0211864406779661,0.0291650019976028,0.0200856179155428
noise_0.1,effnet_sid_b,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,efficientnet_b0,val,noise,0.1,42.0,1.1768456818963464,5099,0.5,2588,8,21,2482,0.994312610315748,0.9942642019099424,0.9967871485943776,0.9916100679184978,0.9941918686160623,0.9997152877256076,0.99971748904414,0.0030816640986132,0.0083899320815021,0.0053321956463172
noise_0.1,convnext_sid_b,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,convnext_tiny,val,noise,0.1,42.0,4.135093589132855,5099,0.5,2580,16,12,2491,0.994508727201412,0.994521212449529,0.9936178699641004,0.9952057530962845,0.9944111776447104,0.9998142444782748,0.999814613523778,0.0061633281972265,0.0047942469037155,0.0045627508492383
